question,answer,hint1,hint2,distractor1,distractor2,distractor3,category,style,difficulty,emoji
"I am a words with exactly 5 letters. My last letter is very important, it is 'L'.",awful,It belongs to the words group.,It has 5 letters.,small,good,far,words,lateral,medium,🔠
"If you spell my name backwards, it looks like 'llih'.",hill,It belongs to the nature group.,It has 4 letters.,star,thunder,sun,nature,wordplay,medium,🌿
"In the food category, this item is very famous. It starts with 'C'.",cupcake,It belongs to the food group.,It starts with 'C'.,turnip,butter,artichoke,food,trivia,easy,🍎
A fun fact about this silly is that its name starts with 'T' and ends with 'N'.,trashcan,It belongs to the silly group.,It ends with 'N'.,jacket,bed,toaster,silly,trivia,tricky,🤪
"If you spell my name backwards, it looks like 'diuqs'.",squid,It belongs to the animals group.,It has 5 letters.,rabbit,wasp,eagle,animals,wordplay,medium,🐾
"Half of 8 is 4, which is how many letters this words has.",tiny,It belongs to the words group.,It starts with 'T'.,proud,dry,hard,words,math,easy,🔠
I sound a little bit like the silly word 'yhiteboard'. I am a school.,whiteboard,It belongs to the school group.,It has 10 letters.,timer,computer,map,school,rhyming,medium,✏️
My name rhymes with 'oixer'. I am part of the silly family.,mixer,It belongs to the silly group.,It starts with 'M'.,blender,pan,sunglasses,silly,rhyming,easy,🤪
My name rhymes with 'ealm'. I am part of the words family.,calm,It belongs to the words group.,It ends with 'M'.,fast,loud,cool,words,rhyming,tricky,🔠
"If you spell my name backwards, it looks like 'pom'.",mop,It belongs to the silly group.,It starts with 'M'.,microwave,shorts,lamp,silly,wordplay,easy,🤪
Take 65 and subtract 5. What do you get?,60,It is a number.,It is between 59 and 61.,80,76,45,math,rhyming,medium,🧮
"I am a food with exactly 10 letters. My last letter is very important, it is 'A'.",quesadilla,It belongs to the food group.,It has 10 letters.,lettuce,squash,asparagus,food,lateral,medium,🍎
Add 2 and 0 together. What is the total?,2,It is a number.,It is greater than 1.,71,92,45,math,wordplay,easy,🧮
My name rhymes with 'uhorts'. I am part of the silly family.,shorts,It belongs to the silly group.,It starts with 'S'.,shoe,dryer,mop,silly,rhyming,easy,🤪
You might see this nature around. It has 9 letters in its name. What could it be?,peninsula,It belongs to the nature group.,It has 9 letters.,beach,sea,storm,nature,what-am-i,medium,🌿
Mix my letters and you get 'utpckudrm'. I am a space.,dumptruck,It belongs to the space group.,It has 9 letters.,cart,crater,spaceship,space,wordplay,medium,🚀
A fun fact about this space is that its name starts with 'T' and ends with 'R'.,tractor,It belongs to the space group.,It has 7 letters.,forklift,lightspeed,van,space,trivia,medium,🚀
"If you spell my name backwards, it looks like 'trugoy'.",yogurt,It belongs to the food group.,It has 6 letters.,pear,pretzel,cashew,food,wordplay,medium,🍎
"I am a food with exactly 4 letters. My last letter is very important, it is 'E'.",rice,It belongs to the food group.,It has 4 letters.,spinach,pomegranate,squash,food,lateral,medium,🍎
My name rhymes with 'rasta'. I am part of the food family.,pasta,It belongs to the food group.,It starts with 'P'.,pancake,zucchini,lettuce,food,rhyming,easy,🍎
"If you spell my name backwards, it looks like 'hcuoc'.",couch,It belongs to the silly group.,It ends with 'H'.,bowl,blind,fork,silly,wordplay,tricky,🤪
A fun fact about this school is that its name starts with 'M' and ends with 'C'.,music,It belongs to the school group.,It ends with 'C'.,graduation,planner,gym,school,trivia,tricky,✏️
"Half of 10 is 5, which is how many letters this food has.",donut,It belongs to the food group.,It starts with 'D'.,pizza,pineapple,mushroom,food,math,easy,🍎
"In the nature category, this item is very famous. It starts with 'B'.",beach,It belongs to the nature group.,It ends with 'H'.,sleet,canyon,pole,nature,trivia,tricky,🌿
"In the science category, this item is very famous. It starts with 'R'.",rubber,It belongs to the science group.,It ends with 'R'.,gear,atom,ear,science,trivia,tricky,🔬
Count the letters in this sports's name and you get 7. Double that is 14.,shotput,It belongs to the sports group.,It starts with 'S'.,clue,hopscotch,bingo,sports,math,easy,⚽
"If you try to rhyme with me, you might say 'vv'. What silly am I?",tv,It belongs to the silly group.,It ends with 'V'.,shorts,towel,knife,silly,rhyming,tricky,🤪
Think of a common nature. It ends with 'D'. What is it?,seed,It belongs to the nature group.,It has 4 letters.,ocean,stream,rock,nature,what-am-i,medium,🌿
"I am a sports with exactly 7 letters. My last letter is very important, it is 'E'.",frisbee,It belongs to the sports group.,It ends with 'E'.,hulahoop,dominoes,plane,sports,lateral,tricky,⚽
"If you try to rhyme with me, you might say 'jarmonica'. What holidays am I?",harmonica,It belongs to the holidays group.,It has 9 letters.,saxophone,song,sleigh,holidays,rhyming,medium,🎉
